1,Beak,-308.58783,964.0035,-652.9506
2,Beescratch,-370.03836,1571.2324,-916.9695
3,Bumper,-451.9096,879.9502,-490.9863
4,CCL,-80.37784,1095.5963,-515.6303
5,Cross,195.82231,795.1176,-647.256
6,DN16,-350.6049,2011.79,-1065.1316
7,DN21,-364.84952,1900.9429,-1091.9962
8,DN63,-379.33725,1426.5057,-841.21124
9,Double,-133.71608,1133.0358,-555.8346
10,Feather,-420.054,1966.6724,-1081.3861
11,Fish,-383.1338,897.0533,-622.6563
12,Five,168.79301,762.59357,-679.9855
13,Fork,-84.222015,870.85754,-219.34766
14,Gallatin,-417.6488,1927.8822,-1023.1998
15,Grin,-205.42523,895.7793,-440.5358
16,Haecksel,-70.43145,940.37225,-694.69556
17,Hook,-230.16695,979.7555,-371.75162
18,Jet,-433.2961,1793.6893,-1092.696
19,Jonah,-22.575676,865.0126,-595.9288
20,Knit,-410.91476,1503.7811,-863.05945
21,Kringel,-266.9427,1068.9904,-509.38455
22,MN105,3.6327355,850.86066,-485.88486
23,MN23,-505.15106,1817.621,-1154.5986
24,MN60,34.69234,1038.8519,-670.5725
25,MN83,-33.692085,810.27954,-632.2546
26,Mus,-459.49286,1661.5632,-1097.9797
27,Notch,-436.40164,1589.6735,-1063.0475
28,Number1,-432.406,1605.9412,-1009.1387
29,Oscar,-334.13,1253.2545,-685.83234
30,Patchback,-85.75799,761.3723,-551.84467
31,PL,-420.1627,1267.8029,-755.1664
32,Quasi,-457.85565,1810.7424,-1189.0469
33,Ripplefluke,-471.42694,2073.889,-1077.9032
34,Scabs,-144.64102,892.8626,-335.25055
35,Shmuddel,-225.37177,885.25775,-248.57526
36,SMN5,-54.734337,635.80756,-561.14935
37,SN100,-164.2436,1239.7344,-671.26404
38,SN4,-139.541,979.0704,-418.2159
39,SN63,-292.7762,879.0546,-332.8956
40,SN89,-217.93031,1577.2374,-832.58777
41,SN9,-214.88838,1037.6887,-598.7234
42,SN90,-399.09955,1824.1156,-973.2045
43,SN96,-413.97415,999.57983,-634.4673
44,Stripes,-197.77278,774.07196,-321.41556
45,Thumper,-376.51016,931.5196,-352.91364
46,Topless,-4.6125207,951.8208,-587.69366
47,TR120,-207.40852,715.54846,-157.95775
48,TR77,-398.614,1092.2776,-665.86835
49,TR82,-258.58102,1939.1808,-984.73065
50,TR88,-221.17024,770.06934,-119.22973
51,TR99,-163.54814,938.8969,-519.39606
52,Trigger,79.570694,833.70483,-630.7552
53,TSN103,-231.80078,826.1975,-497.92044
54,TSN83,-320.95624,714.35486,-310.34677
55,Upbang,-379.71014,1723.7863,-949.3194
56,Vau,61.792824,863.9767,-738.9708
57,Wave,-328.27493,2019.4855,-1130.8622
58,Web,-327.8032,1870.2384,-1003.8188
59,Whitetip,-366.01404,842.5689,-231.69873
60,Zap,-50.601276,1113.892,-631.1407
61,Zig,-501.8912,2155.2834,-1093.3134
62,Zipfel,-364.93054,802.2148,-384.4543